Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Treatment
SRR6360047,RNA-Seq,202,975278018,PRJNA421561,SAMN08146670,391481601,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456109,GSM2881205,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881205,M. tuberculosis H37Rv,SRP126361,4hrs,ethambutol
SRR6360048,RNA-Seq,202,900963228,PRJNA421561,SAMN08146669,361279515,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456110,GSM2881206,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881206,M. tuberculosis H37Rv,SRP126361,4hrs,ethambutol
SRR6360049,RNA-Seq,202,902825062,PRJNA421561,SAMN08146668,367335215,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456111,GSM2881207,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881207,M. tuberculosis H37Rv,SRP126361,4hrs,streptomycin
SRR6360050,RNA-Seq,202,1013936980,PRJNA421561,SAMN08146667,408597315,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456112,GSM2881208,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881208,M. tuberculosis H37Rv,SRP126361,4hrs,streptomycin
SRR6360051,RNA-Seq,202,1130450984,PRJNA421561,SAMN08146666,451246351,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456113,GSM2881209,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881209,M. tuberculosis H37Rv,SRP126361,4hrs,streptomycin
SRR6360052,RNA-Seq,202,1058494342,PRJNA421561,SAMN08146665,420853727,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456114,GSM2881210,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881210,M. tuberculosis H37Rv,SRP126361,4hrs,rifampicin
SRR6360053,RNA-Seq,202,965788058,PRJNA421561,SAMN08146664,384719807,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456115,GSM2881211,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881211,M. tuberculosis H37Rv,SRP126361,4hrs,rifampicin
SRR6360054,RNA-Seq,202,858466872,PRJNA421561,SAMN08146663,341533264,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456116,GSM2881212,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881212,M. tuberculosis H37Rv,SRP126361,4hrs,rifampicin
SRR6360055,RNA-Seq,202,1116986674,PRJNA421561,SAMN08146662,450529056,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456117,GSM2881213,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881213,M. tuberculosis H37Rv,SRP126361,24hrs,control
SRR6360056,RNA-Seq,202,862643020,PRJNA421561,SAMN08146661,344817723,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456118,GSM2881214,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881214,M. tuberculosis H37Rv,SRP126361,24hrs,control
SRR6360057,RNA-Seq,202,1104791732,PRJNA421561,SAMN08146660,442127070,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456119,GSM2881215,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881215,M. tuberculosis H37Rv,SRP126361,24hrs,control
SRR6360058,RNA-Seq,202,1105771432,PRJNA421561,SAMN08146659,445818133,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456120,GSM2881216,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881216,M. tuberculosis H37Rv,SRP126361,24hrs,ciprofloxacin
SRR6360059,RNA-Seq,202,933398974,PRJNA421561,SAMN08146658,375977363,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456121,GSM2881217,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881217,M. tuberculosis H37Rv,SRP126361,24hrs,ciprofloxacin
SRR6360060,RNA-Seq,202,977672122,PRJNA421561,SAMN08146657,392610471,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456122,GSM2881218,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881218,M. tuberculosis H37Rv,SRP126361,24hrs,ciprofloxacin
SRR6360061,RNA-Seq,202,1175570310,PRJNA421561,SAMN08146656,468852214,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456123,GSM2881219,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881219,M. tuberculosis H37Rv,SRP126361,24hrs,isoniazid
SRR6360062,RNA-Seq,202,1089427410,PRJNA421561,SAMN08146655,434381961,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456124,GSM2881220,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881220,M. tuberculosis H37Rv,SRP126361,24hrs,isoniazid
SRR6360063,RNA-Seq,202,1069046418,PRJNA421561,SAMN08146654,425938639,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456125,GSM2881221,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881221,M. tuberculosis H37Rv,SRP126361,24hrs,isoniazid
SRR6360064,RNA-Seq,202,1076553344,PRJNA421561,SAMN08146653,429315908,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456126,GSM2881222,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881222,M. tuberculosis H37Rv,SRP126361,24hrs,ethambutol
SRR6360065,RNA-Seq,202,1003759816,PRJNA421561,SAMN08146652,401601928,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456127,GSM2881223,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881223,M. tuberculosis H37Rv,SRP126361,24hrs,ethambutol
SRR6360066,RNA-Seq,202,1136407964,PRJNA421561,SAMN08146651,455455585,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456128,GSM2881224,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881224,M. tuberculosis H37Rv,SRP126361,24hrs,ethambutol
SRR6360067,RNA-Seq,202,1077700502,PRJNA421561,SAMN08146650,434111258,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456129,GSM2881225,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881225,M. tuberculosis H37Rv,SRP126361,24hrs,streptomycin
SRR6360068,RNA-Seq,202,1154630990,PRJNA421561,SAMN08146685,466705794,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456130,GSM2881226,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881226,M. tuberculosis H37Rv,SRP126361,24hrs,streptomycin
SRR6360069,RNA-Seq,202,946263546,PRJNA421561,SAMN08146684,380618133,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456131,GSM2881227,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881227,M. tuberculosis H37Rv,SRP126361,24hrs,streptomycin
SRR6360070,RNA-Seq,202,1115957282,PRJNA421561,SAMN08146683,447136238,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456132,GSM2881228,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881228,M. tuberculosis H37Rv,SRP126361,24hrs,rifampicin
SRR6360071,RNA-Seq,202,946655224,PRJNA421561,SAMN08146682,378835271,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456133,GSM2881229,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881229,M. tuberculosis H37Rv,SRP126361,24hrs,rifampicin
SRR6360072,RNA-Seq,202,953993480,PRJNA421561,SAMN08146681,385230286,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456134,GSM2881230,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881230,M. tuberculosis H37Rv,SRP126361,24hrs,rifampicin
